dataset,color_profile,img_x,img_y,algorithm,train_size,train_time,test_size,test_time,precision,error,origin
cifar,gray,32,32,knn,50000,0.037575245,10000,4.059422255,0.2951,0.7049,local_3
cifar,gray,32,32,knn,40000,0.023133516,10000,3.005932808,0.284,0.716,local_3
cifar,gray,32,32,knn,30000,0.016551733,10000,2.3604846,0.2731,0.7269,local_3
cifar,gray,32,32,knn,20000,0.011511087,10000,1.605320215,0.261,0.739,local_3
cifar,gray,32,32,knn,10000,0.006010294,10000,0.936470747,0.2374,0.7626,local_3
cifar,gray,32,32,knn,5000,0.003509045,10000,0.544487,0.2192,0.7808,local_3
cifar,color,32,32,CNN,50000,130.3216455,10000,1.148229599,0.64289999,0.35710001,local_3
cifar,color,32,32,CNN,40000,102.2836637,10000,1.137426138,0.622600019,0.377399981,local_3
cifar,color,32,32,CNN,30000,76.499125,10000,1.116953373,0.59009999,0.40990001,local_3
cifar,color,32,32,CNN,20000,50.75458217,10000,1.117905617,0.542599976,0.457400024,local_3
cifar,color,32,32,CNN,10000,27.29174519,10000,1.115971804,0.466399997,0.533600003,local_3
cifar,color,32,32,CNN,5000,13.02207828,10000,1.112044334,0.438499987,0.561500013,local_3
cifar,color,32,32,NN,50000,18.23597455,10000,0.395037174,0.100000001,0.899999999,local_3
cifar,color,32,32,NN,40000,13.37526441,10000,0.342161417,0.100100003,0.899899997,local_3
cifar,color,32,32,NN,30000,10.34838009,10000,0.327461004,0.100000001,0.899999999,local_3
cifar,color,32,32,NN,20000,6.804271221,10000,0.333782196,0.100000001,0.899999999,local_3
cifar,color,32,32,NN,10000,3.62957716,10000,0.333871365,0.100000001,0.899999999,local_3
cifar,color,32,32,NN,5000,1.982207775,10000,0.331712246,0.100100003,0.899899997,local_3
cifar,color,32,32,SVM_poli,50000,2812.779386,10000,384.774497,0.4988,0.5012,local_3
cifar,color,32,32,SVM_poli,40000,1611.926554,10000,304.1509104,0.4852,0.5148,local_3
cifar,color,32,32,SVM_poli,30000,888.0143096,10000,228.5416389,0.4745,0.5255,local_3
cifar,color,32,32,SVM_poli,20000,398.4331038,10000,155.4221776,0.4578,0.5422,local_3
cifar,color,32,32,SVM_poli,10000,99.17857504,10000,79.33633566,0.4166,0.5834,local_3
cifar,color,32,32,SVM_poli,5000,21.43190742,10000,40.92906928,0.3877,0.6123,local_3
cifar,color,32,32,decision_tree,50000,134.4775596,10000,0.046557188,0.2673,0.7327,local_3
cifar,color,32,32,decision_tree,40000,104.6843481,10000,0.052397013,0.2638,0.7362,local_3
